Downloaded from wid.world on 10-05-2021 at 21:50:02
Percentile;Year;"sptinc_z_BR
Pre-tax national income
Top 10% | share
Brazil"
p90p100;1980;0.5453
p90p100;1981;0.5453
p90p100;1982;0.5453
p90p100;1983;0.5453
p90p100;1984;0.5453
p90p100;1985;0.5453
p90p100;1986;0.5453
p90p100;1987;0.5453
p90p100;1988;0.5453
p90p100;1989;0.5453
p90p100;1990;0.5453
p90p100;1991;0.5453
p90p100;1992;0.5453
p90p100;1993;0.5453
p90p100;1994;0.5453
p90p100;1995;0.5453
p90p100;1996;0.5453
p90p100;1997;0.5453
p90p100;1998;0.5453
p90p100;1999;0.5453
p90p100;2000;0.5453
p90p100;2001;0.5453
p90p100;2002;0.5383
p90p100;2003;0.5496
p90p100;2004;0.5657
p90p100;2005;0.5795
p90p100;2006;0.5567
p90p100;2007;0.5466
p90p100;2008;0.5587
p90p100;2009;0.5884
p90p100;2010;0.571
p90p100;2011;0.5788
p90p100;2012;0.5807
p90p100;2013;0.5506
p90p100;2014;0.5658
p90p100;2015;0.5573
p90p100;2016;0.5479
p90p100;2017;0.5636
p90p100;2018;0.5929
p90p100;2019;0.5929
p0p50;1980;0.1124
p0p50;1981;0.1124
p0p50;1982;0.1124
p0p50;1983;0.1124
p0p50;1984;0.1124
p0p50;1985;0.1124
p0p50;1986;0.1124
p0p50;1987;0.1124
p0p50;1988;0.1124
p0p50;1989;0.1124
p0p50;1990;0.1124
p0p50;1991;0.1124
p0p50;1992;0.1124
p0p50;1993;0.1124
p0p50;1994;0.1124
p0p50;1995;0.1124
p0p50;1996;0.1124
p0p50;1997;0.1124
p0p50;1998;0.1124
p0p50;1999;0.1124
p0p50;2000;0.1124
p0p50;2001;0.1124
p0p50;2002;0.1152
p0p50;2003;0.112
p0p50;2004;0.1084
p0p50;2005;0.1051
p0p50;2006;0.11
p0p50;2007;0.1137
p0p50;2008;0.1112
p0p50;2009;0.1036
p0p50;2010;0.1092
p0p50;2011;0.1085
p0p50;2012;0.1092
p0p50;2013;0.1163
p0p50;2014;0.1127
p0p50;2015;0.1131
p0p50;2016;0.1092
p0p50;2017;0.1045
p0p50;2018;0.0981
p0p50;2019;0.0981
