Country,Countrycode2,Countrycode3,Year,POP,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Region,Currency,Reference_period,Welfaredefn,Currency_Unit,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,isEu,isOECD,exchrate_penn
Argentina,AR,ARG,2010,40895752,Upper middle income,,,41.2,United Nations,2.1,3.7,4.6,5.7,6.5,8,9.7,12.3,16.3,31.1,5.8,10.3,14.5,22,47.4,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,Urban,All,All,,,
Canada,CA,CAN,2010,34147568,High income,25477,21317,33.7,Luxembourg Income Study,2.69,4.42,5.67,6.73,7.81,8.98,10.42,12.33,15.19,25.77,7.11,12.4,16.79,22.75,40.95,1.01,16.15,New 2019,High,Americas,Canadian Dollar,Year,Income (net),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2010,45222700,Upper middle income,3935966,2281997,54,Luxembourg Income Study,1,2.21,3.16,4.12,5.19,6.55,8.32,11.01,16.04,42.4,3.21,7.29,11.74,19.32,58.44,0.29,30.11,New 2019,High,Americas,Colombian peso,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Colombia,CO,COL,2010,45222700,Upper middle income,,,56,United Nations,0.9,2,2.8,3.9,4.9,6.3,8.1,10.8,15.9,44.3,2.9,6.7,11.2,18.9,60.2,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Costa Rica,CR,CRI,2010,4577371,Upper middle income,,,49.2,United Nations,1.4,2.7,3.7,4.7,5.6,7,8.9,11.6,16.9,37.6,4.1,8.4,12.6,20.5,54.5,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Costa Rica,CR,CRI,2010,4545280,Upper middle income,,,48.9,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,0.001901758
Dominican Republic,DO,DOM,2010,9695117,Upper middle income,,,48,United Nations,1.7,2.8,3.7,4.6,5.7,7.2,9.1,11.5,16.5,37.1,4.5,8.3,12.9,20.6,53.6,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Ecuador,EC,ECU,2010,15011114,Upper middle income,,,49,United Nations,1.6,2.9,3.7,4.6,5.8,6.9,8.5,11.1,16.1,38.7,4.5,8.3,12.7,19.6,54.8,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
El Salvador,SV,SLV,2010,6183877,Lower middle income,,,45.4,United Nations,1.7,3,4,5.1,6.2,7.7,9.5,12,16.4,34.4,4.7,9.1,13.9,21.5,50.8,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Guatemala,GT,GTM,2010,14630417,Upper middle income,,,54.6,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,0.124103802
Honduras,HN,HND,2010,8317467,Lower middle income,,,51.9,United Nations,1.6,2.5,3.3,4.2,5.2,6.5,8.4,11.2,16.3,40.7,4.1,7.5,11.7,19.6,57,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
